year,ID,set,singleton.length.cm,green.shoot.length.cm,green.leaves,segments,seg.length.mm,seg.length.2.mm,seg.length.3.mm,woody.shoot.length.cm,woody.shoot.leaves,weight.g,total.weight.g,total.singletons,total.complex.green.shoots,total.woody.shoots,total.dry.weight.g
2017,651,1,,,,,,,,44,52,92,,869,409,1,4865
2017,651,1,91,,,20,68,62,58,,,5,48,869,409,1,4865
2017,651,1,85,,,19,58,68,66,,,3,48,869,409,1,4865
2017,651,1,92,,,22,69,68,51,,,4,48,869,409,1,4865
2017,651,1,96,,,21,56,61,59,,,5,48,869,409,1,4865
2017,651,1,91,,,20,67,60,63,,,5,48,869,409,1,4865
2017,651,1,78,,,19,67,57,51,,,3,48,869,409,1,4865
2017,651,1,93,,,20,64,78,68,,,5,48,869,409,1,4865
2017,651,1,87,,,18,66,80,72,,,3,48,869,409,1,4865
2017,651,1,98,,,21,68,57,45,,,7,48,869,409,1,4865
2017,651,1,89,,,19,54,71,56,,,3,48,869,409,1,4865
2017,651,2,59,,,13,63,63,56,,,2,20,869,409,1,4865
2017,651,2,63,,,13,64,62,60,,,2,20,869,409,1,4865
2017,651,2,61,,,14,50,61,60,,,2,20,869,409,1,4865
2017,651,2,59,,,12,55,60,62,,,2,20,869,409,1,4865
2017,651,2,57,,,14,65,63,54,,,1,20,869,409,1,4865
2017,651,2,63,,,13,63,60,60,,,1,20,869,409,1,4865
2017,651,2,60,,,14,60,53,59,,,1,20,869,409,1,4865
2017,651,2,61,,,15,69,56,51,,,2,20,869,409,1,4865
2017,651,2,57,,,14,61,58,64,,,1,20,869,409,1,4865
2017,651,2,61,,,13,55,59,62,,,2,20,869,409,1,4865
2017,651,3,37,,,10,45,43,42,,,,7,869,409,1,4865
2017,651,3,39,,,11,47,16,43,,,,7,869,409,1,4865
2017,651,3,42,,,10,55,58,45,,,,7,869,409,1,4865
2017,651,3,36,,,10,54,54,48,,,,7,869,409,1,4865
2017,651,3,31,,,8,44,43,43,,,,7,869,409,1,4865
2017,651,3,37,,,10,50,52,46,,,,7,869,409,1,4865
2017,651,3,35,,,10,42,43,41,,,,7,869,409,1,4865
2017,651,3,28,,,9,50,45,43,,,,7,869,409,1,4865
2017,651,3,33,,,9,37,36,36,,,,7,869,409,1,4865
2017,651,3,41,,,11,49,43,40,,,,7,869,409,1,4865
2017,651,7,57,,,,,,,,,,,869,409,1,4865
2017,651,7,81,,,,,,,,,,,869,409,1,4865
2017,651,7,62,,,,,,,,,,,869,409,1,4865
2017,651,7,55,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,53,,,,,,,,,,,869,409,1,4865
2017,651,7,31,,,,,,,,,,,869,409,1,4865
2017,651,7,53,,,,,,,,,,,869,409,1,4865
2017,651,7,74,,,,,,,,,,,869,409,1,4865
2017,651,7,56,,,,,,,,,,,869,409,1,4865
2017,651,7,54,,,,,,,,,,,869,409,1,4865
2017,651,7,51,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,63,,,,,,,,,,,869,409,1,4865
2017,651,7,46,,,,,,,,,,,869,409,1,4865
2017,651,7,35,,,,,,,,,,,869,409,1,4865
2017,651,7,29,,,,,,,,,,,869,409,1,4865
2017,651,7,72,,,,,,,,,,,869,409,1,4865
2017,651,7,90,,,,,,,,,,,869,409,1,4865
2017,651,7,66,,,,,,,,,,,869,409,1,4865
2017,651,7,71,,,,,,,,,,,869,409,1,4865
2017,651,7,25,,,,,,,,,,,869,409,1,4865
2017,651,7,50,,,,,,,,,,,869,409,1,4865
2017,651,7,57,,,,,,,,,,,869,409,1,4865
2017,651,7,24,,,,,,,,,,,869,409,1,4865
2017,651,7,24,,,,,,,,,,,869,409,1,4865
2017,651,7,67,,,,,,,,,,,869,409,1,4865
2017,651,7,68,,,,,,,,,,,869,409,1,4865
2017,651,7,87,,,,,,,,,,,869,409,1,4865
2017,651,7,59,,,,,,,,,,,869,409,1,4865
2017,651,7,28,,,,,,,,,,,869,409,1,4865
2017,651,7,85,,,,,,,,,,,869,409,1,4865
2017,651,7,64,,,,,,,,,,,869,409,1,4865
2017,651,7,44,,,,,,,,,,,869,409,1,4865
2017,651,7,67,,,,,,,,,,,869,409,1,4865
2017,651,7,67,,,,,,,,,,,869,409,1,4865
2017,651,7,26,,,,,,,,,,,869,409,1,4865
2017,651,7,47,,,,,,,,,,,869,409,1,4865
2017,651,7,41,,,,,,,,,,,869,409,1,4865
2017,651,7,73,,,,,,,,,,,869,409,1,4865
2017,651,7,56,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,60,,,,,,,,,,,869,409,1,4865
2017,651,7,75,,,,,,,,,,,869,409,1,4865
2017,651,7,66,,,,,,,,,,,869,409,1,4865
2017,651,7,70,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,45,,,,,,,,,,,869,409,1,4865
2017,651,7,47,,,,,,,,,,,869,409,1,4865
2017,651,7,74,,,,,,,,,,,869,409,1,4865
2017,651,7,83,,,,,,,,,,,869,409,1,4865
2017,651,7,56,,,,,,,,,,,869,409,1,4865
2017,651,7,52,,,,,,,,,,,869,409,1,4865
2017,651,7,72,,,,,,,,,,,869,409,1,4865
2017,651,7,58,,,,,,,,,,,869,409,1,4865
2017,651,7,82,,,,,,,,,,,869,409,1,4865
2017,651,7,59,,,,,,,,,,,869,409,1,4865
2017,651,7,49,,,,,,,,,,,869,409,1,4865
2017,651,7,44,,,,,,,,,,,869,409,1,4865
2017,651,7,52,,,,,,,,,,,869,409,1,4865
2017,651,7,48,,,,,,,,,,,869,409,1,4865
2017,651,7,74,,,,,,,,,,,869,409,1,4865
2017,651,7,62,,,,,,,,,,,869,409,1,4865
2017,651,7,73,,,,,,,,,,,869,409,1,4865
2017,651,7,69,,,,,,,,,,,869,409,1,4865
2017,651,7,79,,,,,,,,,,,869,409,1,4865
2017,651,7,81,,,,,,,,,,,869,409,1,4865
2017,651,7,45,,,,,,,,,,,869,409,1,4865
2017,651,7,44,,,,,,,,,,,869,409,1,4865
2017,651,7,84,,,,,,,,,,,869,409,1,4865
2017,651,7,72,,,,,,,,,,,869,409,1,4865
2017,651,7,57,,,,,,,,,,,869,409,1,4865
2017,651,7,71,,,,,,,,,,,869,409,1,4865
2017,651,7,67,,,,,,,,,,,869,409,1,4865
2017,651,7,41,,,,,,,,,,,869,409,1,4865
2017,651,7,62,,,,,,,,,,,869,409,1,4865
2017,651,7,43,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,60,,,,,,,,,,,869,409,1,4865
2017,651,7,45,,,,,,,,,,,869,409,1,4865
2017,651,7,48,,,,,,,,,,,869,409,1,4865
2017,651,7,46,,,,,,,,,,,869,409,1,4865
2017,651,7,43,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,59,,,,,,,,,,,869,409,1,4865
2017,651,7,86,,,,,,,,,,,869,409,1,4865
2017,651,7,70,,,,,,,,,,,869,409,1,4865
2017,651,7,44,,,,,,,,,,,869,409,1,4865
2017,651,7,70,,,,,,,,,,,869,409,1,4865
2017,651,7,54,,,,,,,,,,,869,409,1,4865
2017,651,7,44,,,,,,,,,,,869,409,1,4865
2017,651,7,59,,,,,,,,,,,869,409,1,4865
2017,651,7,41,,,,,,,,,,,869,409,1,4865
2017,651,7,47,,,,,,,,,,,869,409,1,4865
2017,651,7,47,,,,,,,,,,,869,409,1,4865
2017,651,7,56,,,,,,,,,,,869,409,1,4865
2017,651,7,49,,,,,,,,,,,869,409,1,4865
2017,651,7,52,,,,,,,,,,,869,409,1,4865
2017,651,7,53,,,,,,,,,,,869,409,1,4865
2017,651,7,41,,,,,,,,,,,869,409,1,4865
2017,651,7,55,,,,,,,,,,,869,409,1,4865
2017,651,7,72,,,,,,,,,,,869,409,1,4865
2017,651,7,55,,,,,,,,,,,869,409,1,4865
2017,651,7,46,,,,,,,,,,,869,409,1,4865
2017,651,7,44,,,,,,,,,,,869,409,1,4865
2017,651,7,65,,,,,,,,,,,869,409,1,4865
2017,651,7,72,,,,,,,,,,,869,409,1,4865
2017,651,7,62,,,,,,,,,,,869,409,1,4865
2017,651,7,62,,,,,,,,,,,869,409,1,4865
2017,651,7,85,,,,,,,,,,,869,409,1,4865
2017,651,7,50,,,,,,,,,,,869,409,1,4865
2017,651,7,80,,,,,,,,,,,869,409,1,4865
2017,651,7,63,,,,,,,,,,,869,409,1,4865
2017,651,7,72,,,,,,,,,,,869,409,1,4865
2017,651,7,54,,,,,,,,,,,869,409,1,4865
2017,651,7,73,,,,,,,,,,,869,409,1,4865
2017,651,7,51,,,,,,,,,,,869,409,1,4865
2017,651,7,79,,,,,,,,,,,869,409,1,4865
2017,651,7,43,,,,,,,,,,,869,409,1,4865
2017,651,7,42,,,,,,,,,,,869,409,1,4865
2017,651,7,63,,,,,,,,,,,869,409,1,4865
2017,651,7,51,,,,,,,,,,,869,409,1,4865
2017,651,7,57,,,,,,,,,,,869,409,1,4865
2017,651,7,47,,,,,,,,,,,869,409,1,4865
2017,651,7,62,,,,,,,,,,,869,409,1,4865
2017,651,7,83,,,,,,,,,,,869,409,1,4865
2017,651,7,74,,,,,,,,,,,869,409,1,4865
2017,651,7,65,,,,,,,,,,,869,409,1,4865
2017,651,4,,72,2,,,,,,,,,869,409,1,4865
2017,651,4,,50,2,,,,,,,,,869,409,1,4865
2017,651,4,,67,2,,,,,,,,,869,409,1,4865
2017,651,4,,80,2,,,,,,,,,869,409,1,4865
2017,651,4,,91,2,,,,,,,,,869,409,1,4865
2017,651,4,,53,4,,,,,,,,,869,409,1,4865
2017,651,4,,56,2,,,,,,,,,869,409,1,4865
2017,651,4,,61,2,,,,,,,,,869,409,1,4865
2017,651,4,,64,2,,,,,,,,,869,409,1,4865
2017,651,4,,53,2,,,,,,,,,869,409,1,4865
2017,651,4,,59,6,,,,,,,,,869,409,1,4865
2017,651,4,,42,2,,,,,,,,,869,409,1,4865
2017,651,4,,57,3,,,,,,,,,869,409,1,4865
2017,651,4,,78,4,,,,,,,,,869,409,1,4865
2017,651,5,,44,4,,,,,,,3,171,869,409,1,4865
2017,651,5,,57,4,,,,,,,4,171,869,409,1,4865
2017,651,5,,58,14,,,,,,,8,171,869,409,1,4865
2017,651,5,,78,4,,,,,,,5,171,869,409,1,4865
2017,651,5,,62,3,,,,,,,2,171,869,409,1,4865
2017,651,5,,57,3,,,,,,,2,171,869,409,1,4865
2017,651,5,,60,8,,,,,,,11,171,869,409,1,4865
2017,651,5,,66,7,,,,,,,18,171,869,409,1,4865
2017,651,5,,71,6,,,,,,,4,171,869,409,1,4865
2017,651,5,,63,4,,,,,,,2,171,869,409,1,4865
2017,651,5,,64,2,,,,,,,4,171,869,409,1,4865
2017,651,5,,86,2,,,,,,,4,171,869,409,1,4865
2017,651,5,,71,2,,,,,,,4,171,869,409,1,4865
2017,651,5,,54,3,,,,,,,2,171,869,409,1,4865
2017,651,5,,56,3,,,,,,,3,171,869,409,1,4865
2017,651,5,,90,5,,,,,,,7,171,869,409,1,4865
2017,651,5,,57,9,,,,,,,7,171,869,409,1,4865
2017,651,5,,69,4,,,,,,,9,171,869,409,1,4865
2017,651,5,,60,6,,,,,,,10,171,869,409,1,4865
2017,651,5,,66,2,,,,,,,2,171,869,409,1,4865
