year,ID,set,singleton.length.cm,green.shoot.length.cm,green.leaves,segments,seg.length.mm,seg.length.2.mm,seg.length.3.mm,woody.shoot.length.cm,woody.shoot.leaves,weight.g,total.weight.g,total.singletons,total.complex.green.shoots,total.woody.shoots,total.dry.weight.g
2017,651,5,,75,2,,,,,,,3,171,869,409,1,4865
2017,651,5,,50,2,,,,,,,1,171,869,409,1,4865
2017,651,5,,59,4,,,,,,,4,171,869,409,1,4865
2017,651,5,,60,10,,,,,,,5,171,869,409,1,4865
2017,651,5,,60,2,,,,,,,3,171,869,409,1,4865
2017,651,5,,47,14,,,,,,,7,171,869,409,1,4865
2017,651,5,,64,6,,,,,,,3,171,869,409,1,4865
2017,651,5,,59,10,,,,,,,9,171,869,409,1,4865
2017,651,5,,61,6,,,,,,,6,171,869,409,1,4865
2017,651,5,,59,6,,,,,,,5,171,869,409,1,4865
2017,651,5,,56,3,,,,,,,2,171,869,409,1,4865
2017,651,23,,57,12,,,,,,,13,,869,409,1,4865
2017,651,23,,87,20,,,,,,,17,,869,409,1,4865
2017,651,23,,67,20,,,,,,,33,,869,409,1,4865
2017,651,23,,83,16,,,,,,,27,,869,409,1,4865
2017,651,23,,75,15,,,,,,,11,,869,409,1,4865
2017,651,23,,68,16,,,,,,,23,,869,409,1,4865
2017,651,23,,91,20,,,,,,,35,,869,409,1,4865
2017,651,23,,68,11,,,,,,,5,,869,409,1,4865
2017,651,23,,82,16,,,,,,,24,,869,409,1,4865
2017,651,23,,79,10,,,,,,,23,,869,409,1,4865
2017,651,23,,77,28,,,,,,,46,,869,409,1,4865
2017,651,23,,63,35,,,,,,,27,,869,409,1,4865
2017,651,23,,71,15,,,,,,,14,,869,409,1,4865
2017,651,23,,78,13,,,,,,,24,,869,409,1,4865
2017,651,23,,75,20,,,,,,,26,,869,409,1,4865
2017,651,23,,58,10,,,,,,,8,,869,409,1,4865
2017,651,23,,61,14,,,,,,,10,,869,409,1,4865
2017,197,8,51,,,12,79,71,60,,,,28,121,35,,
2017,197,8,44,,,9,7,67,52,,,,28,121,35,,
2017,197,8,39,,,9,67,67,49,,,,28,121,35,,
2017,197,8,55,,,12,68,74,74,,,,28,121,35,,
2017,197,8,35,,,7,65,62,55,,,,28,121,35,,
2017,197,8,47,,,11,81,70,54,,,,28,121,35,,
2017,197,8,40,,,8,73,62,51,,,,28,121,35,,
2017,197,8,50,,,12,76,69,64,,,,28,121,35,,
2017,197,8,34,,,9,49,48,58,,,,28,121,35,,
2017,197,8,48,,,11,73,66,63,,,,28,121,35,,
2017,197,8,41,,,10,72,75,62,,,,28,121,35,,
2017,197,8,41,,,10,58,56,47,,,,28,121,35,,
2017,197,8,22,,,4,63,52,27,,,,28,121,35,,
2017,197,8,41,,,8,71,73,64,,,,28,121,35,,
2017,197,8,37,,,8,51,64,63,,,,28,121,35,,
2017,197,8,34,,,7,74,72,52,,,,28,121,35,,
2017,197,8,39,,,10,64,56,51,,,,28,121,35,,
2017,197,8,29,,,5,76,75,71,,,,28,121,35,,
2017,197,8,32,,,7,66,58,48,,,,28,121,35,,
2017,197,8,21,,,4,58,70,50,,,,28,121,35,,
2017,197,8,35,,,10,61,63,50,,,,28,121,35,,
2017,197,8,27,,,8,40,45,49,,,,28,121,35,,
2017,197,8,29,,,6,74,62,51,,,,28,121,35,,
2017,197,8,32,,,8,57,57,51,,,,28,121,35,,
2017,197,8,16,,,4,52,46,42,,,,28,121,35,,
2017,197,8,50,,,11,89,63,46,,,,28,121,35,,
2017,197,8,46,,,9,83,76,63,,,,28,121,35,,
2017,197,8,27,,,5,76,75,66,,,,28,121,35,,
2017,197,8,26,,,7,18,38,48,,,,28,121,35,,
2017,197,8,43,,,10,66,75,65,,,,28,121,35,,
2017,197,8,34,,,8,65,61,50,,,,28,121,35,,
2017,197,9,31,,,,,,,,,,30,121,35,,
2017,197,9,34,,,,,,,,,,30,121,35,,
2017,197,9,43,,,,,,,,,,30,121,35,,
2017,197,9,28,,,,,,,,,,30,121,35,,
2017,197,9,32,,,,,,,,,,30,121,35,,
2017,197,9,22,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,37,,,,,,,,,,30,121,35,,
2017,197,9,31,,,,,,,,,,30,121,35,,
2017,197,9,34,,,,,,,,,,30,121,35,,
2017,197,9,36,,,,,,,,,,30,121,35,,
2017,197,9,48,,,,,,,,,,30,121,35,,
2017,197,9,44,,,,,,,,,,30,121,35,,
2017,197,9,49,,,,,,,,,,30,121,35,,
2017,197,9,35,,,,,,,,,,30,121,35,,
2017,197,9,21,,,,,,,,,,30,121,35,,
2017,197,9,32,,,,,,,,,,30,121,35,,
2017,197,9,32,,,,,,,,,,30,121,35,,
2017,197,9,37,,,,,,,,,,30,121,35,,
2017,197,9,22,,,,,,,,,,30,121,35,,
2017,197,9,21,,,,,,,,,,30,121,35,,
2017,197,9,28,,,,,,,,,,30,121,35,,
2017,197,9,16,,,,,,,,,,30,121,35,,
2017,197,9,10,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,17,,,,,,,,,,30,121,35,,
2017,197,9,31,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,23,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,22,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,8,,,,,,,,,,30,121,35,,
2017,197,9,21,,,,,,,,,,30,121,35,,
2017,197,9,10,,,,,,,,,,30,121,35,,
2017,197,9,11,,,,,,,,,,30,121,35,,
2017,197,9,26,,,,,,,,,,30,121,35,,
2017,197,9,16,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,27,,,,,,,,,,30,121,35,,
2017,197,9,15,,,,,,,,,,30,121,35,,
2017,197,9,19,,,,,,,,,,30,121,35,,
2017,197,9,38,,,,,,,,,,30,121,35,,
2017,197,9,13,,,,,,,,,,30,121,35,,
2017,197,9,8,,,,,,,,,,30,121,35,,
2017,197,9,16,,,,,,,,,,30,121,35,,
2017,197,9,12,,,,,,,,,,30,121,35,,
2017,197,9,12,,,,,,,,,,30,121,35,,
2017,197,9,9,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,12,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,11,,,,,,,,,,30,121,35,,
2017,197,9,14,,,,,,,,,,30,121,35,,
2017,197,9,12,,,,,,,,,,30,121,35,,
2017,197,9,14,,,,,,,,,,30,121,35,,
2017,197,9,10,,,,,,,,,,30,121,35,,
2017,197,9,7,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,12,,,,,,,,,,30,121,35,,
2017,197,9,13,,,,,,,,,,30,121,35,,
2017,197,9,12,,,,,,,,,,30,121,35,,
2017,197,9,9,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,21,,,,,,,,,,30,121,35,,
2017,197,9,28,,,,,,,,,,30,121,35,,
2017,197,9,21,,,,,,,,,,30,121,35,,
2017,197,9,6,,,,,,,,,,30,121,35,,
2017,197,9,15,,,,,,,,,,30,121,35,,
2017,197,9,58,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,35,,,,,,,,,,30,121,35,,
2017,197,9,26,,,,,,,,,,30,121,35,,
2017,197,9,20,,,,,,,,,,30,121,35,,
2017,197,9,18,,,,,,,,,,30,121,35,,
2017,197,9,38,,,,,,,,,,30,121,35,,
2017,197,9,24,,,,,,,,,,30,121,35,,
2017,197,9,22,,,,,,,,,,30,121,35,,
2017,197,9,26,,,,,,,,,,30,121,35,,
2017,197,9,26,,,,,,,,,,30,121,35,,
2017,197,10,,49,12,,,,,,,4,60,121,35,,
2017,197,10,,46,4,,,,,,,2,60,121,35,,
2017,197,10,,43,4,,,,,,,2,60,121,35,,
2017,197,10,,40,7,,,,,,,2,60,121,35,,
2017,197,10,,36,4,,,,,,,2,60,121,35,,
2017,197,10,,38,6,,,,,,,1,60,121,35,,
2017,197,10,,18,6,,,,,,,1,60,121,35,,
2017,197,10,,35,11,,,,,,,3,60,121,35,,
2017,197,10,,28,10,,,,,,,2,60,121,35,,
2017,197,10,,49,2,,,,,,,1,60,121,35,,
2017,197,10,,26,6,,,,,,,1,60,121,35,,
2017,197,10,,44,6,,,,,,,2,60,121,35,,
2017,197,10,,14,4,,,,,,,1,60,121,35,,
2017,197,10,,41,2,,,,,,,1,60,121,35,,
2017,197,10,,17,4,,,,,,,1,60,121,35,,
2017,197,10,,47,3,,,,,,,1,60,121,35,,
2017,197,10,,42,6,,,,,,,1,60,121,35,,
2017,197,10,,27,6,,,,,,,1,60,121,35,,
2017,197,10,,46,3,,,,,,,1,60,121,35,,
2017,197,10,,30,13,,,,,,,1,60,121,35,,
2017,197,10,,37,2,,,,,,,1,60,121,35,,
2017,197,10,,40,4,,,,,,,1,60,121,35,,
2017,197,10,,51,8,,,,,,,2,60,121,35,,
2017,197,10,,42,6,,,,,,,2,60,121,35,,
2017,197,10,,22,6,,,,,,,1,60,121,35,,
2017,197,10,,26,3,,,,,,,1,60,121,35,,
2017,197,10,,29,3,,,,,,,1,60,121,35,,
2017,197,10,,39,3,,,,,,,1,60,121,35,,
2017,197,10,,22,9,,,,,,,1,60,121,35,,
2017,197,10,,39,6,,,,,,,1,60,121,35,,
2017,197,10,,18,4,,,,,,,1,60,121,35,,
2017,197,10,,40,4,,,,,,,1,60,121,35,,
2017,197,10,,11,3,,,,,,,1,60,121,35,,
2017,197,10,,28,2,,,,,,,1,60,121,35,,
2017,197,10,,12,3,,,,,,,1,60,121,35,,
2017,197,10,,40,8,,,,,,,2,60,121,35,,
2017,197,11,,,,,,,,89,67,20,,121,35,,
2017,197,11,,,,,,,,45,19,4,,121,35,,
2017,197,11,,,,,,,,53,36,7,,121,35,,
2017,197,11,,,,,,,,71,108,25,,121,35,,
2017,197,11,,,,,,,,60,74,25,,121,35,,
2017,197,11,,,,,,,,71,49,18,,121,35,,
2017,197,11,,,,,,,,41,21,4,,121,35,,
2017,197,11,,,,,,,,55,29,7,,121,35,,
2017,197,11,,,,,,,,64,31,9,,121,35,,
2017,197,11,,,,,,,,59,19,10,,121,35,,
2017,197,11,,,,,,,,33,7,2,,121,35,,
2017,197,11,,,,,,,,42,12,3,,121,35,,
2017,197,11,,,,,,,,21,8,1,,121,35,,
2017,197,11,,,,,,,,50,25,5,,121,35,,
2017,197,11,,,,,,,,36,18,7,,121,35,,
2017,197,11,,,,,,,,30,7,2,,121,35,,
2017,197,11,,,,,,,,42,9,3,,121,35,,
2017,197,11,,,,,,,,41,32,12,,121,35,,
2017,197,11,,,,,,,,51,29,16,,121,35,,
2017,197,11,,,,,,,,47,31,4,,121,35,,
2017,137,12,61,,,,,,,,,,23,265,453,34,3096
2017,137,12,75,,,,,,,,,,23,265,453,34,3096
2017,137,12,67,,,,,,,,,,23,265,453,34,3096
2017,137,12,68,,,,,,,,,,23,265,453,34,3096
2017,137,12,64,,,,,,,,,,23,265,453,34,3096
2017,137,12,60,,,,,,,,,,23,265,453,34,3096
2017,137,12,66,,,,,,,,,,23,265,453,34,3096
2017,137,12,57,,,,,,,,,,23,265,453,34,3096
2017,137,12,58,,,,,,,,,,23,265,453,34,3096
2017,137,12,64,,,,,,,,,,23,265,453,34,3096
2017,621,13,37,,,,,,,,,,16,310,170,0,478
2017,621,13,52,,,,,,,,,,16,310,170,0,478
2017,621,13,58,,,,,,,,,,16,310,170,0,478
2017,621,13,49,,,,,,,,,,16,310,170,0,478
2017,621,13,49,,,,,,,,,,16,310,170,0,478
2017,621,13,56,,,,,,,,,,16,310,170,0,478
2017,621,13,44,,,,,,,,,,16,310,170,0,478
2017,621,13,42,,,,,,,,,,16,310,170,0,478
2017,621,13,44,,,,,,,,,,16,310,170,0,478
2017,621,13,38,,,,,,,,,,16,310,170,0,478
2017,452,14,68,,,,,,,,,,45,120,58,4,822
2017,452,14,69,,,,,,,,,,45,120,58,4,822
2017,452,14,76,,,,,,,,,,45,120,58,4,822
2017,452,14,85,,,,,,,,,,45,120,58,4,822
2017,452,14,85,,,,,,,,,,45,120,58,4,822
2017,452,14,75,,,,,,,,,,45,120,58,4,822
2017,452,14,85,,,,,,,,,,45,120,58,4,822
2017,452,14,88,,,,,,,,,,45,120,58,4,822
2017,452,14,77,,,,,,,,,,45,120,58,4,822
2017,452,14,83,,,,,,,,,,45,120,58,4,822
2017,462,15,50,,,,,,,,,,18,73,342,6,1872
2017,462,15,55,,,,,,,,,,18,73,342,6,1872
2017,462,15,55,,,,,,,,,,18,73,342,6,1872
2017,462,15,52,,,,,,,,,,18,73,342,6,1872
2017,462,15,56,,,,,,,,,,18,73,342,6,1872
2017,462,15,48,,,,,,,,,,18,73,342,6,1872
2017,462,15,55,,,,,,,,,,18,73,342,6,1872
2017,462,15,29,,,,,,,,,,18,73,342,6,1872
2017,462,15,35,,,,,,,,,,18,73,342,6,1872
2017,462,15,33,,,,,,,,,,18,73,342,6,1872
2017,544,16,65,,,,,,,,,,20,96,251,16,3802
2017,544,16,83,,,,,,,,,,20,96,251,16,3802
2017,544,16,64,,,,,,,,,,20,96,251,16,3802
2017,544,16,75,,,,,,,,,,20,96,251,16,3802
2017,544,16,61,,,,,,,,,,20,96,251,16,3802
2017,544,16,64,,,,,,,,,,20,96,251,16,3802
2017,544,16,53,,,,,,,,,,20,96,251,16,3802
2017,544,16,56,,,,,,,,,,20,96,251,16,3802
2017,544,16,53,,,,,,,,,,20,96,251,16,3802
2017,544,16,60,,,,,,,,,,20,96,251,16,3802
2017,273,17,39,,,,,,,,,,7,22,83,0,443
2017,273,17,40,,,,,,,,,,7,22,83,0,443
2017,273,17,37,,,,,,,,,,7,22,83,0,443
2017,273,17,37,,,,,,,,,,7,22,83,0,443
2017,273,17,45,,,,,,,,,,7,22,83,0,443
2017,273,17,33,,,,,,,,,,7,22,83,0,443
2017,273,17,32,,,,,,,,,,7,22,83,0,443
2017,273,17,30,,,,,,,,,,7,22,83,0,443
2017,273,17,25,,,,,,,,,,7,22,83,0,443
2017,273,17,29,,,,,,,,,,7,22,83,0,443
2017,271,18,71,,,,,,,,,,34,395,242,15,2288
2017,271,18,79,,,,,,,,,,34,395,242,15,2288
2017,271,18,64,,,,,,,,,,34,395,242,15,2288
2017,271,18,67,,,,,,,,,,34,395,242,15,2288
2017,271,18,56,,,,,,,,,,34,395,242,15,2288
2017,271,18,64,,,,,,,,,,34,395,242,15,2288
2017,271,18,57,,,,,,,,,,34,395,242,15,2288
2017,271,18,58,,,,,,,,,,34,395,242,15,2288
2017,271,18,56,,,,,,,,,,34,395,242,15,2288
2017,271,18,60,,,,,,,,,,34,395,242,15,2288
2017,146,19,55,,,,,,,,,,17,49,124,0,448
2017,146,19,49,,,,,,,,,,17,49,124,0,448
2017,146,19,37,,,,,,,,,,17,49,124,0,448
2017,146,19,53,,,,,,,,,,17,49,124,0,448
2017,146,19,40,,,,,,,,,,17,49,124,0,448
2017,146,19,46,,,,,,,,,,17,49,124,0,448
2017,146,19,50,,,,,,,,,,17,49,124,0,448
2017,146,19,64,,,,,,,,,,17,49,124,0,448
2017,146,19,42,,,,,,,,,,17,49,124,0,448
2017,146,19,45,,,,,,,,,,17,49,124,0,448
2017,444,19,71,,,,,,,,,,38,77,29,13,1009
2017,444,19,85,,,,,,,,,,38,77,29,13,1009
2017,444,19,77,,,,,,,,,,38,77,29,13,1009
2017,444,19,86,,,,,,,,,,38,77,29,13,1009
2017,444,19,85,,,,,,,,,,38,77,29,13,1009
2017,444,19,89,,,,,,,,,,38,77,29,13,1009
2017,444,19,81,,,,,,,,,,38,77,29,13,1009
2017,444,19,69,,,,,,,,,,38,77,29,13,1009
2017,444,19,90,,,,,,,,,,38,77,29,13,1009
