date,census,ID,length,width,height,resprout,observations
april.2013,pre.2,137,2.5,3,1.4,,
april.2013,pre.2,146,4.4,3.8,1.5,,
april.2013,pre.2,182,4.9,3,1.9,,
april.2013,pre.2,183,4.3,3.3,1.7,,
april.2013,pre.2,197,2.9,3.6,1.5,,
april.2013,pre.2,200,1.9,1.2,0.7,,
april.2013,pre.2,217,1.9,1.3,1,,
april.2013,pre.2,245,4.3,4.6,1.28,,
april.2013,pre.2,271,3.3,4.5,1.4,,
april.2013,pre.2,273,2.6,0.3,1.3,,
april.2013,pre.2,303,3.8,3.4,1.2,,
april.2013,pre.2,444,3,4.4,1,,
april.2013,pre.2,452,2.1,1.5,1.1,,
april.2013,pre.2,462,3.3,3.7,1.4,,
april.2013,pre.2,544,3.3,2.8,1.4,,
april.2013,pre.2,614,2.2,1.6,0.9,,
april.2013,pre.2,615,1.9,1.7,1.3,,
april.2013,pre.2,618,3.2,1.9,1,,
april.2013,pre.2,621,2.8,3,1.3,,
april.2013,pre.2,651,1.7,1.5,1.2,,
nov.2016,post.2,137,1.9,3.3,0.6,9,"9 bunches of sprouts, coming from ground"
nov.2016,post.2,146,3.4,2.15,0.7,10,"10 bunches, ground"
nov.2016,post.2,182,,,,15,"whole shrub, this one was not removed according to the coordinates; but P183 nearby was removed"
nov.2016,post.2,183,1.4,1.2,0.6,6,"6 bunches , from branches; location 36.69446, 120.79504"
nov.2016,post.2,197,1.35,0.6,0.63,3,"3 bunches of sprouts, from branches"
nov.2016,post.2,200,0,0,0,0,no new growth
nov.2016,post.2,217,1.15,1.25,0.85,15,not chopped (whole shrub)
nov.2016,post.2,245,3.2,2.5,0.8,8,"8 bunches of sprouts - 2 bunches from branches, 6 bunches from ground"
nov.2016,post.2,271,2.8,2.55,0.71,8,"about 8 bunches, from the ground"
nov.2016,post.2,273,0.8,0.9,0.55,1,1 main sprout bunch from ground in between main old branches
nov.2016,post.2,303,3.5,2.8,0.6,13,"13+ bunches of sprouts - 1 from branch, the rest from the ground"
nov.2016,post.2,444,2.75,0.95,0.88,5,5 bunches from branches
nov.2016,post.2,452,1.2,0.65,0.9,2,2 bigger bunches from branches
nov.2016,post.2,462,2.33,0.85,0.7,6,6 bunches from branches
nov.2016,post.2,544,3.55,2.05,0.85,8,approximately 8 big bunches
nov.2016,post.2,614,1.7,1.15,0.43,12,12 small bunchs from ground
nov.2016,post.2,615,1.1,1.35,0.85,2,"1 big bunch, 1 small bunch"
nov.2016,post.2,618,2.1,0.95,0.7,4,"4 bunches, from ground and twigs"
nov.2016,post.2,621,1.85,0.9,0.65,10,10 bunches some from branches
nov.2016,post.2,651,2.55,2.4,1,10,"lots of big growth all over, approx 10+ bunches, mix of ground and branch growth"
